"date","candidate","name","sources","isretweeted","text","length","favorites","retweets"
2020-10-31 23:59:59,"Biden","again_censored","Android",TRUE,"@DanScavino: #Election2020 #MAGA<U+0001F1FA><U+0001F1F8><U+0001F985>
<U+0001F310>https://t.co/zqgeZML9Hf https://t.co/AP5E5XXjEy",87,0,3312
2020-10-31 23:59:59,"Biden","brians229","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:59,"Biden","Sullivan5812","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:59,"Biden","ladykerilynn","iPhone",TRUE,"@VenturaReport: President Donald Trump campaigning in battleground state Pennsylvania today, one his stops included Reading. We spoke to…",140,0,128
2020-10-31 23:59:58,"Biden","Carie4USA","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:58,"Biden","mba382","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:58,"Biden","naandoleite","iPhone",TRUE,"@ladygaga: I’m voting for America #vote #election2020 https://t.co/bspDNkxnhJ",80,0,17928
2020-10-31 23:59:57,"Biden","LASDBrink","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:57,"Biden","rajeevsinha76","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:57,"Biden","dab789","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:57,"Biden","GeoGrella","Web",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:56,"Biden","kikibean61","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:56,"Biden","progressevergr1","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:56,"Biden","cmneapac","Android",TRUE,"@voteboonemo: Nearing the end of the absentee period, we're just shy of 20% turnout of all eligible voters with 26,498 voters already ca…",140,0,10
2020-10-31 23:59:55,"Biden","autsisvautsis","Android",TRUE,"@ladygaga: I’m voting for America #vote #election2020 https://t.co/bspDNkxnhJ",80,0,17928
2020-10-31 23:59:55,"Biden","techdecisions","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:55,"Biden","lumezgo77","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","juareztjl","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","estebantmmcw","Web",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","SabrinaNC10","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","Karen19230912","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","BetteCasperson","Web",TRUE,"@GettyImagesNews: Former President #BarackObama waves to supporters as he campaigns with Democratic presidential nominee #JoeBiden in De…",140,0,4
2020-10-31 23:59:54,"Biden","ajbuck85","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","toddhgreen","iPhone",NA,"Don’t do it, Iowa. #Election2020 #BidenHarris https://t.co/OgLxi4GP47",69,2,0
2020-10-31 23:59:54,"Biden","Samantha114MAGA","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:54,"Biden","PaulaCassarino","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:53,"Biden","weneedjobsnow","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:53,"Biden","dancalbear","Android",NA,"Nevermind Russian interference this #Election2020. The Black Mailbox on ET hwy is all about seeking political influ… https://t.co/qDRyL22pnb",140,1,0
2020-10-31 23:59:52,"Biden","w_katz1","iPhone",NA,"Unwavering neutrality is key. “43% of Americans said they were concerned about election interference at the polls,… https://t.co/i7U7IutGPj",139,4,3
2020-10-31 23:59:52,"Biden","AlSciarretti","Android",NA,"@alexsalvinews @CNN The only way @JoeBiden wins the #Election2020 is through corruption.

That's it. That's the list.",117,0,0
2020-10-31 23:59:52,"Biden","Koslenko","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:51,"Biden","tre_engle","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:51,"Biden","TSHawthorne","iPhone",NA,"#MaskedUp Doing my civic duty. #election2020 https://t.co/BisNCjbcJd",68,6,0
2020-10-31 23:59:50,"Biden","randal_holiman","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:50,"Biden","MScountryboy2","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:50,"Biden","Gabi78095679","iPad",NA,"Your vote matters. Make your voting plan for #Election2020 by finding your polling place or ballot drop box site, v… https://t.co/Iyq1y2D09S",140,0,0
2020-10-31 23:59:49,"Biden","49tbruno","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:48,"Biden","MartinezBuildrz","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:47,"Biden","PowerCat65","iPhone",TRUE,"@HispanicFed: Atención #Florida: ¡Usted tiene derecho a solicitar una boleta en español en su lugar de votación! 

No deje que el idioma…",140,0,193
2020-10-31 23:59:47,"Biden","CariPriceRE","iPad",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:47,"Biden","Coin17434525","Android",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:46,"Biden","TeixidoHeather","iPhone",TRUE,"@realDonaldTrump: For the last 4 years you have seen me fight for you - and now I am relying on YOU to deliver another historic victory…",139,0,32107
2020-10-31 23:59:46,"Biden","suebnews","iPhone",TRUE,"@DanielTurnerPTF: This morning the @realDonaldTrump administration rescued a 55th American hostage. 

The Obama-Biden administration wat…",140,0,1037
