"date","candidate","name","sources","isretweeted","text","length","favorites","retweets"
2020-10-30 23:59:44,"Biden","IndpndntThnkn","Android",NA,"#Trump Republicans are trying to cut Medicare, Medicaid and Social Security. #Democrats are trying to protect it.… https://t.co/xnNsdMCGNk",138,0,0
2020-10-30 23:59:20,"Biden","FakeGekkaO","Android",TRUE,"@Gr3Te4rights: #Election2020 #VoteBlue #Biden2020 #GretiansTag https://t.co/P4bnLsez1M",89,0,27
2020-10-30 23:58:40,"Biden","BidenTony4","Android",NA,"For one mocking someone for using a mask, and two, of course has to be a woman. 
#COVIDIOTS #COVID19… https://t.co/0I2miRiQ0U",125,1,0
2020-10-30 23:58:34,"Biden","253pnw","iPhone",NA,"I want equality for all not just for a few (straight, rich &amp; white) I have empathy A healthy and educated nation is… https://t.co/yS1YfbXvVD",144,0,0
2020-10-30 23:58:00,"Biden","gerdesilets","Web",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1262
2020-10-30 23:56:52,"Biden","CVanador","Android",NA,"Who do you want for president 2020 #2020Elections #2020Election #Trump2020 #biden2020 #Shrek2020",96,0,0
2020-10-30 23:56:49,"Biden","reylwatson","iPhone",NA,"LMAO I CAN’T-

#fucktrump #votehimout #biden2020 https://t.co/WoBhTDvbU3",72,3,0
2020-10-30 23:55:37,"Biden","DavidSchmalenb1","iPhone",TRUE,"@NorthShore2093: Oppressor, Aggressor, Regressor, Suppressor, Divider #BYEDON2020 #Biden2020 https://t.co/BAsB4aun5V",119,0,2
2020-10-30 23:54:58,"Biden","jordantwalker","Android",TRUE,"@WSJatLarge: How can we trust the polls? What's different in this election than in 2016? @RachelBitecofer explains. 

""There are a few a…",140,0,16
2020-10-30 23:54:55,"Biden","CooperHernick","iPhone",NA,"You’re damn right, @STR0 everyone has to vote. #VOTE #Election2020 #Vote2020 #VoteBlue #Biden2020 #BlueWave… https://t.co/sHzCy5jNoj",132,0,0
2020-10-30 23:54:52,"Biden","MichaelMattes18","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1262
2020-10-30 23:54:38,"Biden","wsmfpizza","iPhone",NA,"The man has a point. #Vote2020 #Biden2020 https://t.co/N1xmIw0UTq",65,0,0
2020-10-30 23:54:29,"Biden","SparkleyJane","iPad",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1262
2020-10-30 23:53:46,"Biden","NavL64000114","iPhone",NA,"@MollyJongFast @BoratSagdiyev Time’s up Rudy. Your straitjacket has been shipped. Here’s the Tracking Number #BIDEN2020!",120,0,0
2020-10-30 23:53:43,"Biden","GregoryBuster1","Android",TRUE,"@LocalVoicesUS: Forgot? Trump paid $750 in taxes in 2017. How much did you pay?

@saadia___m on Tiktok. #everyvotecounts #biden2020 #vot…",140,0,3
2020-10-30 23:53:38,"Biden","Rev_on_the_left","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1262
2020-10-30 23:53:29,"Biden","Dragonzfli","iPhone",NA,"@realDonaldTrump allowed 300,000 Americans to die from a pandemic, the list goes on and on and on. #VOTE… https://t.co/t96xXX6Ouv",129,1,0
2020-10-30 23:52:23,"Biden","jkneez","others",NA,"@repkatieporter #drivethruvote parade #vote #katieporterforcongress #katieporterwhiteboard #bidenharris2020… https://t.co/djlf70vJID",132,1,0
2020-10-30 23:52:17,"Biden","dogsjustthedogs","Web",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1262
2020-10-30 23:51:57,"Biden","nevaehmarti1","iPhone",NA,"@sbeilinson @chrisvader316 @MarkDice @JoeBiden i respect that #BidenHarris2020 #Biden2020 , he wants to leave cuz h… https://t.co/VNUt6WRRRU",140,0,0
2020-10-30 23:51:54,"Biden","erikakaz","Web",NA,"So... I ordered a mask from a fake Biden website. Don't even try to teach me this lesson. I got it. <U+0001F602> #biden2020… https://t.co/SbSx1SjPpB",137,11,0
2020-10-30 23:51:21,"Biden","Phaedrus08","iPhone",TRUE,"@WSJatLarge: How can we trust the polls? What's different in this election than in 2016? @RachelBitecofer explains. 

""There are a few a…",140,0,16
2020-10-30 23:51:14,"Biden","nps_rrt","iPhone",TRUE,"@NathanWyburnArt: My @JoeBiden portrait created by stamping the word VOTE! <U+0001F1FA><U+0001F1F8> 

#Biden #BidenHarris2020 
#Biden2020 #usa<U+0001F1FA><U+0001F1F8> #American #PO…",140,0,1262
2020-10-30 23:51:13,"Biden","masteryodaiv","Android",NA,"Is he trying to go after the youth vote here? Does he think the only thing we are about are holidays and school?… https://t.co/ZJ0spZsr3V",137,1,0
